siteid,fluxnetid,keyid,sitename,countryid,land_unit,status,latitude,longitude,year_began,network1,network2,network3,koeppen_climate,gtopo30_elevation,igbp_land_use,umd_land_cover,lai_fpar,npp_land_cover,plant_functional_type,network1_id
826,US-Blo,us.blodgett_forest.01,Blodgett Forest,United States,North America,Inactive,38.89525,-120.63275,1997,AmeriFlux,MARCONI,(null),"Csb - Warm temperate with dry, warm summer",1280,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,1
830,US-Bo1,us.bondville.01,Bondville,United States,North America,Active,40.0062,-88.2904,1996,AmeriFlux,AERONET,MARCONI,Dfa - Snow with fully humid hot summer,217,Croplands,Croplands,Broadleaf Crops,Annual Broadleaf Vegetation,Broadleaf crop,1
831,US-Bo2,us.bondville.02,Bondville (companion site),United States,North America,Inactive,40.0061,-88.2918,2004,AmeriFlux,(null),(null),Dfa - Snow with fully humid hot summer,218,Croplands,Croplands,Broadleaf Crops,Annual Broadleaf Vegetation,Broadleaf crop,1
833,US-Bkg,us.brookings.01,Brookings,United States,North America,Active,44.34529,-96.83617,2004,AmeriFlux,(null),(null),Dfa - Snow with fully humid hot summer,495,Croplands,Croplands,Broadleaf Crops,Annual Broadleaf Vegetation,Broadleaf crop,1
844,US-CaV,us.canaan_valley.01,Canaan Valley,United States,North America,Active,39.0633,-79.4208,2004,AmeriFlux,(null),(null),Cfb - Warm temperate fully humid with warm summer,975,Cropland/Natural Vegetation Mosaic,Croplands,Broadleaf Crops,Annual Broadleaf Vegetation,Broadleaf crop,1
845,US-ChR,us.chestnut_ridge.01,Chestnut Ridge,United States,North America,Active,35.931093,-84.332424,2006,AmeriFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,290,Deciduous Broadleaf Forest,Deciduous Broadleaf Forest,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,1
863,US-Co1,us.crp_grazed.01,CRP Grazed site,United States,North America,Inactive,40.72514,-104.30138,2003,Unaffiliated,(null),(null),BSk - Arid Steppe cold,1526,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,19
864,US-Co2,us.crp_mintill.01,CRP Minimum-Till site,United States,North America,Inactive,40.7345,-104.30128,2003,Unaffiliated,(null),(null),BSk - Arid Steppe cold,1528,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,19
865,US-Co3,us.crp_ungrazed.01,CRP Ungrazed site,United States,North America,Inactive,40.72965,-104.30134,2003,Unaffiliated,(null),(null),BSk - Arid Steppe cold,1526,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,19
866,US-Cyp,us.cypress_bald.01,Cypress wetland,United States,North America,Inactive,29.77043333,-82.2081,1994,Unaffiliated,(null),(null),Cfa - Warm temperate fully humid with hot summer,46,Mixed Forests,Mixed Forests,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,19
867,US-Dk1,us.duke_grassyfield.01,Duke Forest Open Field,United States,North America,Active,35.9712024,-79.09337586,2001,AmeriFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,166,Mixed Forests,Mixed Forests,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,1
2816,CN-Tbs,cn.tibet.01,Tibet Grassland Site,China,Asia,Inactive,31.37,91.9,1998,AsiaFlux,(null),(null),ET - Polar tundra,(null),Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,2
868,US-Dk2,us.duke_hardwoods.01,Duke Forest Hardwoods,United States,North America,Active,35.97358231,-79.10043042,2000,AmeriFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,169,Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,1
869,US-Dk3,us.duke_loblolly.01,Duke Forest Loblolly Pine,United States,North America,Active,35.97816586,-79.09419557,1997,AmeriFlux,MARCONI,(null),Cfa - Warm temperate fully humid with hot summer,169,Mixed Forests,Mixed Forests,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,1
871,US-Skr,us.fl_everglades_mangrove.01,Florida Everglades - Shark River Slough (Mangrove Forest),United States,North America,Active,25.36463056,-81.07794611,2003,AmeriFlux,(null),(null),Aw - Equatorial savannah with dry winter,1,Permanent Wetlands,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,1
873,US-FPe,us.fort_peck.01,Fort Peck,United States,North America,Active,48.3077,-105.1019,1999,AmeriFlux,(null),(null),BSk - Arid Steppe cold,638,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,1
874,US-FR1,us.freeman_grassland.01,Freeman Ranch- Grassland,United States,North America,Active,29.93,-98.01,2004,AmeriFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,243,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,1
875,US-FR2,us.freeman_transition.01,Freeman Ranch- Mesquite Juniper,United States,North America,Active,29.94948932,-97.99622779,2004,AmeriFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,260,Cropland/Natural Vegetation Mosaic,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,1
876,US-FR3,us.freeman_woodland.01,Freeman Ranch- Woodland,United States,North America,Active,29.94,-97.99,2004,AmeriFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,243,Woody Savannas,Woody Savannas,Savannah,Annual Grass Vegetation,Grass,1
881,US-GLE,us.glacierlake.01,GLEES,United States,North America,Active,41.3644,-106.2394,1999,AmeriFlux,(null),(null),Dfb - Snow fully humid warm summer,3150,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,1
882,US-Goo,us.goodwin_creek.01,Goodwin Creek,United States,North America,Inactive,34.2547,-89.8735,2002,AmeriFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,90,Cropland/Natural Vegetation Mosaic,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,1
883,US-GMF,us.greatmtn_CT.01,Great Mountain,United States,North America,Inactive,41.96666667,-73.23333333,1999,AmeriFlux,(null),(null),Dfb - Snow fully humid warm summer,474,Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,1
884,US-HVa,us.happy_valley.01,Happy Valley,United States,North America,Inactive,69.14233,-148.84117,1993,AmeriFlux,MARCONI,(null),Dfc - Snow fully humid cool summer,303,Open Shrublands,Open Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,1
886,US-Ha1,us.harvard_forest.01,Harvard Forest EMS Tower (HFR1),United States,North America,Active,42.53775556,-72.17147778,1991,AmeriFlux,LTER,AERONET,Dfb - Snow fully humid warm summer,353,Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,1
887,US-Ha2,us.harvard_forest_hemlock.01,Harvard Forest Hemlock Site,United States,North America,Active,42.53933333,-72.17794444,2000,AmeriFlux,(null),(null),Dfb - Snow fully humid warm summer,365,Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,1
890,US-Ho1,us.howland.01,Howland Forest (Main Tower),United States,North America,Active,45.2041,-68.7402,1995,AmeriFlux,MARCONI,(null),Dfb - Snow fully humid warm summer,72,Mixed Forests,Mixed Forests,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,1
891,US-Ho2,us.howland.02,Howland Forest (West Tower),United States,North America,Active,45.20912,-68.747,1999,AmeriFlux,(null),(null),Dfb - Snow fully humid warm summer,82,Mixed Forests,Mixed Forests,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,1
892,US-Ho3,us.howland.03,Howland Forest (East Tower Harvest Site),United States,North America,Active,45.20722,-68.725,2001,AmeriFlux,(null),(null),Dfb - Snow fully humid warm summer,62,Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,1
899,US-IB1,us.il_bat_ag.01,Fermi National Accelerator Laboratory - (Agricultural site),United States,North America,Active,41.8593,-88.22273333,2005,AmeriFlux,(null),(null),Dfa - Snow with fully humid hot summer,220,Croplands,Croplands,Broadleaf Crops,Annual Broadleaf Vegetation,Broadleaf crop,1
900,US-IB2,us.il_bat_prairie.01,Fermi National Accelerator Laboratory - (Prairie site),United States,North America,Active,41.84061667,-88.24103333,2004,AmeriFlux,(null),(null),Dfa - Snow with fully humid hot summer,228,Cropland/Natural Vegetation Mosaic,Croplands,Broadleaf Crops,Annual Broadleaf Vegetation,Broadleaf crop,1
911,US-Jas,us.jasper_ridge.01,Jasper Ridge,United States,North America,Active,37.40213208,-122.2210281,1998,Unaffiliated,(null),(null),"Csb - Warm temperate with dry, warm summer",181,Woody Savannas,Woody Savannas,Savannah,Evergreen Broadleaf Vegetation,Shrub,19
915,US-Kon,us.konza.01,Konza Prairie,United States,North America,Active,39.0823925,-96.56027694,1996,Unaffiliated,LTER,AERONET,Cfa - Warm temperate fully humid with hot summer,430,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,19
916,US-Man,us.ks_cedarforest.01,Manhattan (cedar forest 30 km N),United States,North America,Active,39.46,-96.757,1997,Unaffiliated,(null),(null),Cfa - Warm temperate fully humid with hot summer,354,Woody Savannas,Woody Savannas,Savannah,Evergreen Needleleaf Vegetation,Shrub,19
920,US-Ra1,us.ks_rannellsranch.01,Rannells Ranch (ungrazed),United States,North America,Active,39.139,-96.523,1997,Unaffiliated,(null),(null),Cfa - Warm temperate fully humid with hot summer,409,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,19
921,US-Ra2,us.ks_rannellsranch.02,Rannells Ranch (grazed),United States,North America,Active,39.14049722,-96.52704722,1997,Unaffiliated,(null),(null),Cfa - Warm temperate fully humid with hot summer,402,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,19
922,US-KS1,us.ksc_pine_flatwoods.01,Kennedy Space Center (slash pine),United States,North America,Inactive,28.45830448,-80.67090255,2001,AmeriFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,1,Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,1
923,US-KS2,us.ksc_scruboak.01,Kennedy Space Center (scrub oak),United States,North America,Inactive,28.60857739,-80.67153396,1999,AmeriFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,1,Woody Savannas,Woody Savannas,Savannah,Deciduous Broadleaf Vegetation,Shrub,1
929,US-ARM,us.lamont.01,ARM Southern Great Plains site,United States,North America,Active,36.6058,-97.4888,2000,AmeriFlux,AERONET,(null),Cfa - Warm temperate fully humid with hot summer,312,Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,1
930,US-LWW,us.little_washita.01,Little Washita Watershed,United States,North America,Inactive,34.9604,-97.978895,1995,AmeriFlux,MARCONI,(null),Cfa - Warm temperate fully humid with hot summer,365,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,1
931,US-Los,us.lost_creek.01,Lost Creek,United States,North America,Active,46.08268,-89.97919,2000,AmeriFlux,(null),(null),Dfb - Snow fully humid warm summer,485,Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,1
935,US-LPH,us.ma_little_prospect_hill.01,Little Prospect Hill,United States,North America,Active,42.54186111,-72.18496389,2002,AmeriFlux,(null),(null),Dfb - Snow fully humid warm summer,351,Deciduous Broadleaf Forest,Deciduous Broadleaf Forest,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,1
944,US-Cub,us.md_baltimore.01,Cub Hill (Baltimore),United States,North America,Active,39.41251389,-76.5208,2001,Urban Fluxnet,(null),(null),Cfa - Warm temperate fully humid with hot summer,137,Urban and Built-Up,Urban and Built-Up,Urban,Urban,Urban and built up,22
947,US-Age,us.me_argyle.01,Argyle,United States,North America,Inactive,45.0344,-68.68203333,2004,Unaffiliated,(null),(null),Dfb - Snow fully humid warm summer,44,Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,19
951,US-Ne1,us.mead_maize.01,Mead - irrigated continuous maize site,United States,North America,Active,41.165056,-96.476638,2001,AmeriFlux,(null),(null),Dfa - Snow with fully humid hot summer,355,Croplands,Croplands,Broadleaf Crops,Annual Broadleaf Vegetation,Broadleaf crop,1
952,US-Ne2,us.mead_maize_soybean_irrigated.01,Mead - irrigated maize-soybean rotation site,United States,North America,Active,41.164871,-96.4701,2001,AmeriFlux,(null),(null),Dfa - Snow with fully humid hot summer,355,Croplands,Croplands,Broadleaf Crops,Annual Broadleaf Vegetation,Broadleaf crop,1
953,US-Ne3,us.mead_maize_soybean_rainfed.01,Mead - rainfed maize-soybean rotation site,United States,North America,Active,41.179667,-96.439646,2001,AmeriFlux,(null),(null),Dfa - Snow with fully humid hot summer,356,Croplands,Croplands,Broadleaf Crops,Annual Broadleaf Vegetation,Broadleaf crop,1
954,US-Me1,us.metolius_eyerlyburn.01,Metolius Eyerly Burn,United States,North America,Inactive,44.5794,-121.5,2004,AmeriFlux,(null),(null),"Csb - Warm temperate with dry, warm summer",885,Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,1
955,US-Me2,us.metolius_int.01,Metolius Intermediate Pine,United States,North America,Active,44.4523,-121.5574,2003,AmeriFlux,(null),(null),"Csb - Warm temperate with dry, warm summer",1237,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,1
956,US-Me3,us.metolius_newyng.01,Metolius Second Young Pine,United States,North America,Inactive,44.3154,-121.6078,2003,AmeriFlux,(null),(null),"Csb - Warm temperate with dry, warm summer",1010,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,1
957,US-Me4,us.metolius_old.01,Metolius Old Pine,United States,North America,Inactive,44.4992,-121.6224,1996,AmeriFlux,MARCONI,(null),"Csb - Warm temperate with dry, warm summer",915,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,1
958,US-Me5,us.metolius_yng.01,Metolius First Young Pine,United States,North America,Inactive,44.43718949,-121.566756,1999,AmeriFlux,(null),(null),"Csb - Warm temperate with dry, warm summer",1192,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,1
967,US-MOz,us.moozark.01,Missouri Ozark Site,United States,North America,Active,38.74411,-92.200009,2004,AmeriFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,212,Deciduous Broadleaf Forest,Deciduous Broadleaf Forest,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,1
