siteid,fluxnetid,keyid,sitename,countryid,land_unit,status,latitude,longitude,year_began,network1,network2,network3,koeppen_climate,gtopo30_elevation,igbp_land_use,umd_land_cover,lai_fpar,npp_land_cover,plant_functional_type,network1_id
2601,US-Wi6,us.wi_pbar.01,Pine barrens #1 (PB1),United States,North America,Inactive,46.62488889,-91.29822222,2002,AmeriFlux,(null),(null),Dfb - Snow fully humid warm summer,365,Cropland/Natural Vegetation Mosaic,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,1
2602,US-Wi7,us.wi_rpcc.01,Wisconsin Red pine clearcut (RPCC),United States,North America,Inactive,46.64911111,-91.06927778,2005,AmeriFlux,(null),(null),Dfb - Snow fully humid warm summer,341,Cropland/Natural Vegetation Mosaic,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,1
2603,US-Wi8,us.wi_yhwd.01,Young hardwood clearcut (YHW),United States,North America,Inactive,46.72233333,-91.25241667,2002,AmeriFlux,(null),(null),Dfb - Snow fully humid warm summer,381,Deciduous Broadleaf Forest,Deciduous Broadleaf Forest,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,1
2604,US-Wi9,us.wi_yjpi.01,Young Jack pine (YJP),United States,North America,Inactive,46.61877778,-91.08144444,2004,AmeriFlux,(null),(null),Dfb - Snow fully humid warm summer,347,Mixed Forests,Mixed Forests,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,1
2605,US-Wi0,us.wi_yrpi.01,Young red pine (YRP),United States,North America,Inactive,46.61877778,-91.08144444,2002,AmeriFlux,(null),(null),Dfb - Snow fully humid warm summer,347,Mixed Forests,Mixed Forests,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,1
2606,VU-Coc,vu.cocoflux.01,CocoFlux,Vanuatu,Australia/Oceania,Inactive,-15.44272222,167.1919444,2001,Unaffiliated,(null),(null),"Af - Equatorial rainforest, fully humid",1,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,19
2607,CG-Tch,cd.tchizalamou.01,Tchizalamou,Congo - Kinshasa,Africa,Active,-4.289166667,11.65641667,2006,CarboAfrica (EU-FP6),(null),(null),Aw - Equatorial savannah with dry winter,1,Woody Savannas,Woody Savannas,Savannah,Annual Grass Vegetation,Grass,4
2608,CA-WP2,ca.fen_poor.01,AB-Western Peatland Poor Fen,Canada,North America,Inactive,55.5375,-112.3343,2004,Canadian Carbon Program (CCP),(null),(null),Dfc - Snow fully humid cool summer,732,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,3
2609,CN-Xi2,cn.xilinhot_fenced.01,Xilinhot-fenced grassland (abbr. NX06),China,Asia,Active,43.55277778,116.6713889,(null),Unaffiliated,(null),(null),Dwb - Snow dry winter warm summer,1259,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,19
2610,ID-Pag,id.palangkaraya.01,Palangkaraya,Indonesia,Asia,Active,-2.345,114.0363889,2002,AsiaFlux,(null),(null),"Af - Equatorial rainforest, fully humid",52,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,2
2611,JP-Mas,jp.yawara.02,Mase Paddy (participated in AsiaFlux activities from 1999),Japan,Asia,Active,36.053972,140.026917,1999,JapanFlux,AsiaFlux,(null),Cfa - Warm temperate fully humid with hot summer,19,Woody Savannas,Woody Savannas,Savannah,Deciduous Broadleaf Vegetation,Shrub,14
2612,SE-Abi,se.abisko.01,Abisko,Sweden,Europe,Active,68.3624,18.7948,2005,Unaffiliated,(null),(null),ET - Polar tundra,353,Woody Savannas,Woody Savannas,Savannah,Evergreen Needleleaf Vegetation,Grass,19
2613,US-Bn1,us.ak_bonanza_1920.01,Delta Junction 1920 Control site,United States,North America,Active,63.8881,-145.7394,2003,AmeriFlux,(null),(null),Dfc - Snow fully humid cool summer,388,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,1
2614,US-Bn2,us.ak_bonanza_1987.01,Delta Junction 1987 Burn site,United States,North America,Active,63.9178,-145.3731,2003,AmeriFlux,(null),(null),"Dsc - Snow dry, cool summer",388,Mixed Forests,Mixed Forests,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,1
2615,US-Bn3,us.ak_bonanza_1999.01,Delta Junction 1999 Burn site,United States,North America,Active,63.9217,-145.7456,2003,AmeriFlux,(null),(null),Dfc - Snow fully humid cool summer,465,Woody Savannas,Woody Savannas,Savannah,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,1
2616,BW-GhG,bw.ghanzi.02,Ghanzi Grass Site,Botswana,Africa,Inactive,-21.51,21.74,2003,European Unaffiliated,(null),(null),BSh - Arid Steppe hot,1161,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,40
2617,SE-Faj,se.fajemyr.01,Fajemyr (NECC),Sweden,Europe,Active,56.26546944,13.55351389,2005,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,150,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,40
2618,ES-Amo,es.amoladeras.01,Amoladeras,Spain,Europe,Active,36.833608,-2.252318,2007,GHG-Europe (EU-FP7),(null),(null),BSk - Arid Steppe cold,53,Closed Shrublands,Closed Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,37
2619,CA-WP3,ca.fen_rich.01,AB-Western Peatland Rich Fen,Canada,North America,Inactive,54.47,-113.32,2004,Canadian Carbon Program (CCP),(null),(null),Dfb - Snow fully humid warm summer,581,Mixed Forests,Mixed Forests,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,3
2620,RU-Zfw,ru.zotino_forest.01,Zotino forest West,Russia,Asia,Active,60.75,89.3833,1998,European Unaffiliated,(null),(null),Dfc - Snow fully humid cool summer,88,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,40
2621,RU-Zbo,ru.zotino_bog.01,Zotino bog,Russia,Asia,Active,60.75,89.3833,1998,European Unaffiliated,(null),(null),Dfc - Snow fully humid cool summer,88,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,40
2623,ES-Agu,es.aguamarga.01,Aguamarga,Spain,Europe,Active,36.940046,-2.033208,2006,GHG-Europe (EU-FP7),(null),(null),BSk - Arid Steppe cold,195,Closed Shrublands,Closed Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,37
2626,IE-CLa,ie.colaois.01,Co.Laois,Ireland,Europe,Active,52.95,-7.25,2004,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,140,Mixed Forests,Mixed Forests,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,40
2627,CZ-BK2,cz.bilykriz_grass.01,Bily Kriz- grassland,Czech Republic,Europe,Active,49.49443,18.54285,2004,GHG-Europe (EU-FP7),CarboEurope-IP (EU-FP6),(null),Dfb - Snow fully humid warm summer,837,Mixed Forests,Mixed Forests,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,37
2628,CZ-wet,cz.czechwet.01,CZECHWET,Czech Republic,Europe,Active,49.02465,14.77035,2004,CarboEurope-IP (EU-FP6),(null),(null),Cfb - Warm temperate fully humid with warm summer,425,Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,7
2629,FR-Lq2,fr.laqueuille_ext.01,Laqueuille extensive,France,Europe,Active,45.63919444,2.737027778,2002,GHG-Europe (EU-FP7),CarboExtreme (EU-FP7),CarboEurope-IP (EU-FP6),Cfb - Warm temperate fully humid with warm summer,1081,Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,37
2630,NL-Haa,nl.haastrecht.01,Haastrecht,Netherlands,Europe,Inactive,52.0036111,4.80555556,2003,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,1,Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,40
2631,NL-Lan,nl.langerak.01,Langerak,Netherlands,Europe,Inactive,51.95360184,4.902900219,2005,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,1,Croplands,Croplands,Broadleaf Crops,Annual Broadleaf Vegetation,Broadleaf crop,40
2632,NL-Mol,nl.molenweg.01,Molenweg,Netherlands,Europe,Active,51.65,4.63908333,2005,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,1,Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,40
2633,IT-Noe,it.arcadinoe.01,Sardinia/Arca di Noe,Italy,Europe,Active,40.60613,8.15146,2004, CarboItaly (IT-FISR),(null),(null), -,-4315,Woody Savannas,Woody Savannas,Savannah,Evergreen Broadleaf Vegetation,Shrub,8
2634,NL-Vre,nl.vredepeel.01,Vredepeel,Netherlands,Europe,Inactive,51.53166667,5.844111111,2006,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,28,Cropland/Natural Vegetation Mosaic,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,40
2636,SK-Tat,sk.tatra.01,Tatra,Slovakia,Europe,Active,49.1207778,20.1635,2005,CarboEurope-IP (EU-FP6),(null),(null),Dfc - Snow fully humid cool summer,980,Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,7
2637,NL-Lut,nl.lutjewad.01,Lutjewad,Netherlands,Europe,Inactive,53.39892222,6.356027778,2006,European Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,1,Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,40
2642,US-ARb,us.lamont_burn.01,ARM Southern Great Plains burn site,United States,North America,Inactive,35.54974,-98.04023,2005,AmeriFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,421,Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,1
2643,US-ARc,us.lamont_control.01,ARM Southern Great Plains control site,United States,North America,Inactive,35.54649,-98.04006,2005,AmeriFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,424,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,1
2644,BW-GhM,bw.ghanzi.03,Ghanzi Mixed Site,Botswana,Africa,Inactive,-21.2,21.75,2003,European Unaffiliated,(null),(null),BSh - Arid Steppe hot,1139,Savannas,Savannas,Savannah,Annual Grass Vegetation,Grass,40
2645,ZM-Mkt,zm.mongu_kalahari.01,Mongu - Kalahari Transect,Zambia,Africa,Inactive,-15.438,23.253,2000,Unaffiliated,(null),(null),Aw - Equatorial savannah with dry winter,1093,Savannas,Savannas,Savannah,Annual Grass Vegetation,Grass,19
2646,BW-Mkt,bw.maun_kalahari.01,Maun - Kalahari Transect,Botswana,Africa,Inactive,-19.923,23.594,2000,European Unaffiliated,(null),(null),BSh - Arid Steppe hot,929,Savannas,Savannas,Savannah,Annual Grass Vegetation,Grass,40
2648,FI-Sii,fi.siikaneva.01,Siikaneva (NECC),Finland,Europe,Active,61.83268333,24.19278333,2004,European Unaffiliated,(null),(null),Dfc - Snow fully humid cool summer,173,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,40
2649,DE-Har,de.hartheim.01,Hartheim,Germany,Europe,Active,47.9344,7.601,(null),Unaffiliated,(null),(null),Cfb - Warm temperate fully humid with warm summer,201,Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,19
2657,CG-Hin,cg.pointenoire1.01,Hinda,Congo - Kinshasa,Africa,Inactive,-4.68111111,12.0036111,2001,CarboAfrica (EU-FP6),(null),(null),Aw - Equatorial savannah with dry winter,29,Cropland/Natural Vegetation Mosaic,Savannas,Savannah,Evergreen Broadleaf Vegetation,Grass,4
2658,CG-Kis,cg.pointenoire2.01,Kissoko,Congo - Kinshasa,Africa,Inactive,-4.791388889,11.98222222,2004,CarboAfrica (EU-FP6),(null),(null),Aw - Equatorial savannah with dry winter,19,Cropland/Natural Vegetation Mosaic,Woody Savannas,Savannah,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,4
2661,GH-Ank,gh.ghana_csir.01,Ankasa,Ghana,Africa,Active,5.26854275,-2.69420592,2008,CarboAfrica (EU-FP6),(null),(null),Am - Equatorial monsoon,76,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,4
2683,JP-Tef,jp.teshio.01,"CC-LaG site, Teshio Experimental Forest",Japan,Asia,Active,45.056339,142.106203,2001,JapanFlux,AsiaFlux,(null),Dfb - Snow fully humid warm summer,82,Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,14
2685,ML-AgG,ml.agoufou_g.01,Agoufou G,Mali,Africa,Active,15.34322,-1.48067,2005,CarboAfrica (EU-FP6),(null),(null),BWh - Arid desert hot,291,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,4
2686,ML-AgS,ml.agoufou_s.01,Agoufou S,Mali,Africa,Active,15.49961667,1.390083333,2006,European Unaffiliated,(null),(null),BWh - Arid desert hot,307,Open Shrublands,Open Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,40
2687,ML-Bam,ml.bamba.01,Bamba,Mali,Africa,Active,17.09838,1.4011655,2005,CarboAfrica (EU-FP6),(null),(null),BWh - Arid desert hot,240,Barren or Sparsely Vegetated,Barren or Sparsely Vegetated,Unvegetated,Non-Vegetated Land,Barren or sparse vegetation,4
2689,NE-WaF,ne.wankama_f.01,Wankama Fallow,Niger,Africa,Active,13.64758138,2.63368891,2005,CarboAfrica (EU-FP6),(null),(null),BSh - Arid Steppe hot,235,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,4
2690,NE-WaM,ne.wankama_m.01,Wankama Millet,Niger,Africa,Active,13.644017,2.62984816,2005,European Unaffiliated,(null),(null),BSh - Arid Steppe hot,243,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,40
2694,ZA-Kru,za.skukuza.01,Skukuza,South Africa,Africa,Active,-25.0197,31.4969,2000,CarboAfrica (EU-FP6),(null),(null),BSh - Arid Steppe hot,357,Savannas,Savannas,Savannah,Annual Grass Vegetation,Grass,4
2697,US-SCc,us.ca_sccg_chap.01,Southern California Climate Gradient Desert Chaparral,United States,North America,Active,33.609444,-116.450556,2006,AmeriFlux,(null),(null),BWh - Arid desert hot,1294,Open Shrublands,Open Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,1
2698,US-SCd,us.ca_sccg_desert.01,Southern California Climate Gradient Desert,United States,North America,Active,33.6528,-116.3725,2006,AmeriFlux,(null),(null),BWh - Arid desert hot,297,Open Shrublands,Open Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,1
2699,US-SCg,us.ca_sccg_grass.01,Southern California Climate Gradient Grassland,United States,North America,Active,33.736389,-117.694722,2006,AmeriFlux,(null),(null),"Csa - Warm temperate with dry, hot summer",445,Closed Shrublands,Closed Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,1
2700,US-SCs,us.ca_sccg_sage.01,Southern California Climate Gradient Coastal Sage,United States,North America,Active,33.734167,-117.696111,2006,AmeriFlux,(null),(null),"Csa - Warm temperate with dry, hot summer",457,Closed Shrublands,Closed Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,1
2701,US-SCf,us.ca_sccg_opf.01,Southern California Climate Gradient Oak Pine Forest,United States,North America,Active,33.808056,-116.771667,2006,AmeriFlux,(null),(null),"Csa - Warm temperate with dry, hot summer",1736,Woody Savannas,Woody Savannas,Savannah,Evergreen Needleleaf Vegetation,Shrub,1
2702,US-SCw,us.ca_sccg_pj.01,Southern California Climate Gradient Pinyon Juniper Woodland,United States,North America,Active,33.604722,-116.452667,2006,AmeriFlux,(null),(null),BWh - Arid desert hot,1276,Open Shrublands,Open Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,1
2703,US-SJ1,us.ca_sjfm_tower.01,"San Joaquin Freshwater Marsh, Tower 1",United States,North America,Active,33.66,-117.85,1998,AmeriFlux,(null),(null),BSk - Arid Steppe cold,5,Closed Shrublands,Closed Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,1
2704,US-SJ2,us.ca_sjfm_tower.02,"San Joaquin Freshwater Marsh, Tower 2",United States,North America,Active,33.66,-117.85,2003,AmeriFlux,(null),(null),BSk - Arid Steppe cold,5,Closed Shrublands,Closed Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,1
2706,US-Elm,us.fl_everglade_lhm.01,Florida Everglades - Shark River Slough (Long Hydroperiod Marsh),United States,North America,Active,25.5519,-80.7826,2008,AmeriFlux,(null),(null),Aw - Equatorial savannah with dry winter,1,Permanent Wetlands,Open Shrublands,Shrubs,Evergreen Broadleaf Vegetation,Shrub,1
2707,US-Esm,us.fl_everglade_lhm.02,Florida Everglades - Taylor Slough (Short Hydroperiod Marsh),United States,North America,Active,25.4379,-80.5946,2007,AmeriFlux,(null),(null),Aw - Equatorial savannah with dry winter,1,Permanent Wetlands,Closed Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,1
2709,US-KCM,us.mn_kcmp.01,KCMP Tall Tower,United States,North America,Active,44.688611,-93.072778,2007,AmeriFlux,(null),(null),Dfa - Snow with fully humid hot summer,291,Croplands,Croplands,Broadleaf Crops,Annual Broadleaf Vegetation,Broadleaf crop,1
2710,US-Seg,us.nm_sevilleta_dg.01,Sevilleta Desert Grassland (LTER),United States,North America,Active,34.36233,-106.70195,2006,AmeriFlux,(null),(null),BSk - Arid Steppe cold,1589,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,1
2711,US-Ses,us.nm_sevilleta_ds.01,Sevilleta Desert Shrubland (LTER),United States,North America,Active,34.334944,-106.744167,2006,AmeriFlux,(null),(null),BSk - Arid Steppe cold,1583,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,1
2712,US-Wjs,us.nm_sevilleta_js.01,Tablelands Juniper Savanna,United States,North America,Active,34.425489,-105.861545,2007,AmeriFlux,(null),(null),BSk - Arid Steppe cold,1923,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,1
2713,US-Mpj,us.nm_sevilleta_pj.01,Heritage Land Conservancy Pinyon Juniper Woodland,United States,North America,Active,34.43845,-106.237694,2007,AmeriFlux,(null),(null),BSk - Arid Steppe cold,2182,Closed Shrublands,Closed Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,1
2714,US-Vcp,us.nm_valles_caldera_pp.01,Valles Caldera Ponderosa Pine,United States,North America,Active,35.86236,-106.59743,2006,AmeriFlux,(null),(null),Cfb - Warm temperate fully humid with warm summer,2533,Woody Savannas,Woody Savannas,Savannah,Evergreen Needleleaf Vegetation,Shrub,1
2715,US-Vcm,us.nm_valles_caldera_mc.01,Valles Caldera Mixed Conifer,United States,North America,Active,35.888447,-106.532114,2006,AmeriFlux,(null),(null),Cfb - Warm temperate fully humid with warm summer,3004,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,1
2716,US-Ctn,us.sd_cottonwood.01,Cottonwood,United States,North America,Active,43.94995,-101.84661,2006,AmeriFlux,(null),(null),BSk - Arid Steppe cold,746,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,1
2719,US-Ylw,us.tx_houston_yc.01,Houston Yellowcab Site,United States,North America,Inactive,29.789539,-95.3534278,2008,Unaffiliated,(null),(null),Cfa - Warm temperate fully humid with hot summer,15,Urban and Built-Up,Urban and Built-Up,Urban,Urban,Urban and built up,19
2754,US-SRC,us.sr_creosote.01,Santa Rita Creosote,United States,North America,Active,31.908312,-110.83948,2008,AmeriFlux,(null),(null),BSk - Arid Steppe cold,984,Open Shrublands,Open Shrublands,Shrubs,Annual Broadleaf Vegetation,Shrub,1
2755,US-SFP,us.sioux_falls.01,Sioux Falls Portable,United States,North America,Active,43.2408,-96.902,2007,AmeriFlux,(null),(null),Dfa - Snow with fully humid hot summer,387,Croplands,Croplands,Broadleaf Crops,Annual Broadleaf Vegetation,Broadleaf crop,1
2791,AU-Drg,au.dargo.01,Dargo High Plains,Australia,Australia/Oceania,Active,-37.1334,147.171,2007,OzFlux,(null),(null),Cfb - Warm temperate fully humid with warm summer,1309,Closed Shrublands,Closed Shrublands,Shrubs,Evergreen Broadleaf Vegetation,Shrub,18
2792,AU-Nim,au.nimmo.01,Nimmo Plains,Australia,Australia/Oceania,Active,-36.2159,148.5525,2007,OzFlux,(null),(null),Cfb - Warm temperate fully humid with warm summer,1247,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,18
2793,BF-Bon,bf.bontioli.01,Bontioli,Burkina Faso,Africa,Inactive,10.865556,-3.072778,2004,European Unaffiliated,(null),(null),Aw - Equatorial savannah with dry winter,289,Savannas,Savannas,Savannah,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,40
2794,BF-Btd,bf.boudtenga.01,Boudtenga,Burkina Faso,Africa,Active,12.46,-1.25,2008,European Unaffiliated,(null),(null),BSh - Arid Steppe hot,281,Cropland/Natural Vegetation Mosaic,Croplands,Broadleaf Crops,Annual Broadleaf Vegetation,Broadleaf crop,40
2795,UG-Jin,ug.jinja.01,Jinja,Uganda,Africa,Active,0.4,33.18333333,2003,European Unaffiliated,(null),(null),"Af - Equatorial rainforest, fully humid",1156,Cropland/Natural Vegetation Mosaic,Savannas,Savannah,Deciduous Broadleaf Vegetation,Grass,40
2796,ML-Kem,ml.kelma.01,Kelma,Mali,Africa,Active,15.2237,-1.5662,2005,CarboAfrica (EU-FP6),(null),(null),BWh - Arid desert hot,265,Cropland/Natural Vegetation Mosaic,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,4
2797,ZA-Map,za.malopeni.01,Malopeni,South Africa,Africa,Active,-23.83254,31.21436,2008,CarboAfrica (EU-FP6),(null),(null),BSh - Arid Steppe hot,364,Savannas,Savannas,Savannah,Annual Grass Vegetation,Grass,4
2798,BJ-Nan,bj.nang.01,Nangatchori,Benin,Africa,Active,9.646983333,1.740883333,2005,European Unaffiliated,(null),(null),Aw - Equatorial savannah with dry winter,397,Savannas,Savannas,Savannah,Annual Grass Vegetation,Grass,40
2799,US-Cop,us.corral.01,Corral Pocket,United States,North America,Inactive,38.09,-109.39,2001,AmeriFlux,(null),(null),BSk - Arid Steppe cold,1925,Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,1
2800,US-SCm,us.ca_sccg_smc.01,Southern California Climate Gradient Coastal Sierran Mixed Conifer,United States,North America,Active,37.06778,-119.19444,2008,AmeriFlux,(null),(null),"Csb - Warm temperate with dry, warm summer",1951,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,1
2810,CN-Lao,cn.laoshan.01,Laoshan,China,Asia,Active,45.278611,127.578389,2002,AsiaFlux,(null),(null),Dwb - Snow dry winter warm summer,(null),Mixed Forests,Mixed Forests,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,2
2811,CN-Xg1,cn.xilingol.01,Typical Steppe Xilingol,China,Asia,Active,44.134167,116.328611,2003,ChinaFlux,AsiaFlux,(null),BSk - Arid Steppe cold,(null),Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,10
2812,CN-Xg2,cn.xilingol_desert.01,Desert Steppe Xilingol,China,Asia,Active,44.088889,113.574167,2007,AsiaFlux,(null),(null),BSk - Arid Steppe cold,(null),Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,2
2813,CN-Jnz,cn.jinzhou.01,Jinzhou,China,Asia,Active,41.816667,121.2,2004,ChinaFlux,AsiaFlux,(null),Dwa - Snow dry winter hot summer,(null),Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,10
2814,CN-Pa1,cn.panjin_reed.01,Panjin Wetland (Natural Reed),China,Asia,Active,41.14,121.911667,2004,ChinaFlux,AsiaFlux,(null),Dwa - Snow dry winter hot summer,(null),Cropland/Natural Vegetation Mosaic,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,10
2815,CN-Pa2,cn.panjin_rice.01,Panjin Wetland (Paddy Rice),China,Asia,Active,41.145,121.915,2004,ChinaFlux,AsiaFlux,(null),Dwa - Snow dry winter hot summer,(null),Cropland/Natural Vegetation Mosaic,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,10
2820,CN-Huz,cn.huzhong.01,Huzhong Boreal Forest,China,Asia,Active,51.47,123.01,2006,ChinaFlux,(null),(null),Dwc - Snow dry winter cool summer,(null),Mixed Forests,Mixed Forests,Deciduous Needleleaf Forest,Deciduous Needleleaf Vegetation,Deciduous Needleleaf Trees,10
2821,CN-Dax,cn.daxingan.01,Daxinganling,China,Asia,Active,50.83,121.56,2007,ChinaFlux,(null),(null),Dwc - Snow dry winter cool summer,(null),Deciduous Needleleaf Forest,Deciduous Needleleaf Forest,Deciduous Needleleaf Forest,Deciduous Needleleaf Vegetation,Deciduous Needleleaf Trees,10
2822,CN-Mao,cn.maoershn.01,Maoershan,China,Asia,Active,45.38,127.53,2007,ChinaFlux,(null),(null),Dwb - Snow dry winter warm summer,(null),Deciduous Broadleaf Forest,Deciduous Broadleaf Forest,Deciduous Broadleaf Forest,Deciduous Broadleaf Vegetation,Deciduous Broadleaf Trees,10
2823,CN-Dag,cn.dagangshn.01,Dagangshan,China,Asia,Active,27.585278,114.565556,(null),ChinaFlux,(null),(null),Cfa - Warm temperate fully humid with hot summer,(null),Mixed Forests,Mixed Forests,Evergreen Broadleaf Forest,Evergreen Broadleaf Vegetation,Evergreen Broadleaf Trees,10
2824,CN-Ail,cn.ailaoshan.01,Ailaoshan,China,Asia,Active,24.538056,101.028889,2004,ChinaFlux,(null),(null),Cwb - Warm temperate with dry winter and warm summer,(null),Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Forest,Evergreen Needleleaf Vegetation,Evergreen Needleleaf Trees,10
2825,CN-Maq,cn.maqu.01,Maqu,China,Asia,Active,37.88,102.15,2005,ChinaFlux,(null),(null),BSk - Arid Steppe cold,(null),Grasslands,Grasslands,Grasses/Cereal Crops,Annual Grass Vegetation,Grass,10
2826,CN-Lan,cn.langfang.01,Langfang,China,Asia,Active,39.6,116.58,(null),ChinaFlux,(null),(null),Dwa - Snow dry winter hot summer,(null),Croplands,Croplands,Grasses/Cereal Crops,Annual Grass Vegetation,Cereal crop,10
