mysitename,lon,lat,elv,year_start,year_end,years_data,classid,elv_watch,elv_diff,whc
NL-Loo,5.7436,52.1666,25,1996,2013,18,ENF,22,-3,71.05941772
NO-Adv,15.923,78.186,17,2011,2014,4,WET,317,300,262.4961853
NO-Blv,11.8311,78.9216,25,2008,2009,2,SNO,132,107,203.8401489
RU-Che,161.3414,68.613,4,2002,2005,4,WET,6,2,402.9957886
RU-Cok,147.4943,70.8291,48,2003,2014,12,OSH,17,-31,376.4962769
RU-Fyo,32.9221,56.4615,265,1998,2014,17,ENF,222,-43,301.4570923
RU-Ha1,90.0022,54.7252,446,2002,2004,3,GRA,492,46,357.7788391
SD-Dem,30.4783,13.2829,500,2005,2009,5,SAV,596,96,200.0503845
SN-Dhr,-15.4322,15.4028,40,2010,2013,4,SAV,37,-3,196.4972076
US-AR1,-99.42,36.4267,611,2009,2012,4,GRA,608,-3,356.7785034
US-AR2,-99.5975,36.6358,646,2009,2012,4,GRA,633,-13,222.0836792
US-ARb,-98.0402,35.5497,424,2005,2006,2,GRA,422,-2,334.7418213
US-ARc,-98.04,35.5465,424,2005,2006,2,GRA,422,-2,327.4441834
US-ARM,-97.4888,36.6058,314,2003,2012,10,CRO,315,1,331.8600769
US-Blo,-120.6328,38.8953,1315,1997,2007,11,ENF,742,-573,323.6864319
US-Cop,-109.39,38.09,1520,2001,2007,7,GRA,2077,557,334.2258911
US-GBT,-106.2397,41.3658,3191,1999,2006,8,ENF,2742,-449,219.3778534
US-GLE,-106.2399,41.3665,3197,2004,2014,11,ENF,2742,-455,207.5405273
US-Ha1,-72.1715,42.5378,340,1991,2012,22,DBF,294,-46,193.8503265
US-KS2,-80.6715,28.6086,3,2003,2006,4,CSH,5,2,205.2780151
US-Los,-89.9792,46.0827,480,2000,2014,15,WET,492,12,233.3768768
US-Me1,-121.5,44.5794,896,2004,2005,2,ENF,1230,334,316.7529602
US-Me2,-121.5574,44.4523,1253,2002,2014,13,ENF,1444,191,244.583313
US-Me6,-121.6078,44.3233,998,2010,2014,5,ENF,1444,446,226.5163879
US-MMS,-86.4131,39.3232,275,1999,2014,16,DBF,225,-50,343.0158081
US-Myb,-121.7651,38.0498,-1,2010,2014,5,WET,18,19,312.2982788
US-Ne1,-96.4766,41.1651,361,2001,2013,13,CRO,356,-5,344.2863159
US-Ne2,-96.4701,41.1649,362,2001,2013,13,CRO,356,-6,346.0880432
US-Ne3,-96.4397,41.1797,363,2001,2013,13,CRO,356,-7,342.5169678
US-NR1,-105.5464,40.0329,3050,1998,2014,17,ENF,3053,3,170.7598572
US-ORv,-83.0183,40.0201,221,2011,2011,1,WET,294,73,337.6877747
US-PFa,-90.2723,45.9459,470,1995,2014,20,MF,478,8,203.7393341
US-Prr,-147.4876,65.1237,210,2010,2013,4,ENF,554,344,382.2037354
US-SRG,-110.8277,31.7894,1291,2008,2014,7,GRA,1331,40,154.8731995
US-SRM,-110.8661,31.8214,1120,2004,2014,11,WSA,1331,211,201.2453918
US-Syv,-89.3477,46.242,540,2001,2014,14,MF,491,-49,222.6920776
US-Ton,-120.966,38.4316,177,2001,2014,14,WSA,385,208,304.4613953
US-Tw1,-121.6469,38.1074,-9,2012,2014,3,WET,18,27,309.127594
US-Tw2,-121.6433,38.1047,-5,2012,2013,2,CRO,18,23,309.127594
US-Tw3,-121.6467,38.1159,-9,2013,2014,2,CRO,18,27,313.302002
US-Tw4,-121.6414,38.103,-5,2013,2014,2,WET,18,23,307.500885
US-Twt,-121.653,38.1087,18,2009,2014,6,CRO,18,0,313.1351318
US-UMB,-84.7138,45.5598,234,2000,2014,15,DBF,201,-33,174.0702515
US-UMd,-84.6975,45.5625,239,2007,2014,8,DBF,201,-38,235.3118286
US-Var,-120.9507,38.4133,129,2000,2014,15,GRA,385,256,307.5137329
US-WCr,-90.0799,45.8059,520,1999,2014,16,DBF,478,-42,264.9615173
US-Whs,-110.0522,31.7438,1370,2007,2014,8,OSH,1372,2,233.3881836
US-Wi0,-91.0814,46.6188,349,2002,2002,1,ENF,271,-78,325.711792
US-Wi3,-91.0987,46.6347,411,2002,2004,3,DBF,271,-140,343.6753235
US-Wi4,-91.1663,46.7393,352,2002,2005,4,ENF,271,-81,299.2953796
US-Wi6,-91.2982,46.6249,371,2002,2003,2,OSH,271,-100,334.2886963
US-Wi9,-91.0814,46.6188,350,2004,2005,2,ENF,271,-79,325.711792
US-Wkg,-109.9419,31.7365,1531,2004,2014,11,GRA,1415,-116,209.4907379
ZA-Kru,31.4969,-25.0197,359,2000,2010,11,SAV,582,223,276.6885681
ZM-Mon,23.2528,-15.4378,1053,2000,2009,10,DBF,1048,-5,132.6269684
