id,longitude,latitude,date,Fpar,FparLai_QC,product
2011_02_26,8.36497717843,47.4780738066,2011-02-26,34,2,MODIS/006/MCD15A3H
2011_03_02,8.36497717843,47.4780738066,2011-03-02,54,2,MODIS/006/MCD15A3H
2011_03_06,8.36497717843,47.4780738066,2011-03-06,57,0,MODIS/006/MCD15A3H
2011_03_10,8.36497717843,47.4780738066,2011-03-10,47,0,MODIS/006/MCD15A3H
2011_03_14,8.36497717843,47.4780738066,2011-03-14,34,8,MODIS/006/MCD15A3H
2011_03_18,8.36497717843,47.4780738066,2011-03-18,56,2,MODIS/006/MCD15A3H
2011_03_22,8.36497717843,47.4780738066,2011-03-22,53,2,MODIS/006/MCD15A3H
2011_03_26,8.36497717843,47.4780738066,2011-03-26,26,105,MODIS/006/MCD15A3H
2011_03_30,8.36497717843,47.4780738066,2011-03-30,56,0,MODIS/006/MCD15A3H
2011_04_03,8.36497717843,47.4780738066,2011-04-03,54,2,MODIS/006/MCD15A3H
2011_04_07,8.36497717843,47.4780738066,2011-04-07,64,2,MODIS/006/MCD15A3H
2011_04_11,8.36497717843,47.4780738066,2011-04-11,65,0,MODIS/006/MCD15A3H
2011_04_15,8.36497717843,47.4780738066,2011-04-15,81,2,MODIS/006/MCD15A3H
2011_04_19,8.36497717843,47.4780738066,2011-04-19,91,32,MODIS/006/MCD15A3H
2011_04_23,8.36497717843,47.4780738066,2011-04-23,84,34,MODIS/006/MCD15A3H
2011_04_27,8.36497717843,47.4780738066,2011-04-27,89,34,MODIS/006/MCD15A3H
2011_05_01,8.36497717843,47.4780738066,2011-05-01,87,32,MODIS/006/MCD15A3H
2011_05_05,8.36497717843,47.4780738066,2011-05-05,92,34,MODIS/006/MCD15A3H
2011_05_09,8.36497717843,47.4780738066,2011-05-09,77,97,MODIS/006/MCD15A3H
2011_05_13,8.36497717843,47.4780738066,2011-05-13,29,10,MODIS/006/MCD15A3H
2011_05_17,8.36497717843,47.4780738066,2011-05-17,92,34,MODIS/006/MCD15A3H
2011_05_21,8.36497717843,47.4780738066,2011-05-21,89,34,MODIS/006/MCD15A3H
2011_05_25,8.36497717843,47.4780738066,2011-05-25,93,99,MODIS/006/MCD15A3H
2011_05_29,8.36497717843,47.4780738066,2011-05-29,91,32,MODIS/006/MCD15A3H
2011_06_02,8.36497717843,47.4780738066,2011-06-02,88,50,MODIS/006/MCD15A3H
2011_06_06,8.36497717843,47.4780738066,2011-06-06,49,113,MODIS/006/MCD15A3H
2011_06_10,8.36497717843,47.4780738066,2011-06-10,90,42,MODIS/006/MCD15A3H
2011_06_14,8.36497717843,47.4780738066,2011-06-14,92,32,MODIS/006/MCD15A3H
2011_06_18,8.36497717843,47.4780738066,2011-06-18,84,34,MODIS/006/MCD15A3H
2011_06_22,8.36497717843,47.4780738066,2011-06-22,92,97,MODIS/006/MCD15A3H
2011_06_26,8.36497717843,47.4780738066,2011-06-26,86,34,MODIS/006/MCD15A3H
2011_06_30,8.36497717843,47.4780738066,2011-06-30,93,32,MODIS/006/MCD15A3H
2011_07_04,8.36497717843,47.4780738066,2011-07-04,76,2,MODIS/006/MCD15A3H
2011_07_08,8.36497717843,47.4780738066,2011-07-08,93,34,MODIS/006/MCD15A3H
2011_07_12,8.36497717843,47.4780738066,2011-07-12,91,34,MODIS/006/MCD15A3H
